index	name	genres	rating	type	stars	details	box_office	tech_specs
18.	Родком	Comedy	7.7	TV Series	Viktor Khorinyak, Olga Lerman, Veronika Timofeeva	Official Sites: Official page of the project on the Art Pictures site\nCountry: Russia\nLanguage: Russian\nRelease Date: 23 November 2020 (Russia) \nAlso Known As: Родком 	Null	Color: Color
19.	Пальмира	Drama	Null	Feature Film	Géza Morcsányi, Ekaterina Kramarenko, Daniela Stoyanovich	Official Sites: Official site [Russia] | This is the page of the film in English.\nCountry: Russia\nLanguage: Russian\nRelease Date: 21 October 2020 (South Korea) \nAlso Known As: Пальмира 	Null	Runtime: 85 min\nColor: Color
20.	Цой	Drama	4.9	Feature Film	Evgeniy Tsyganov, Paulina Andreeva, Maryana Spivak	Country: Russia | Latvia\nLanguage: Russian\nRelease Date: 12 November 2020 (Russia) \nAlso Known As: 47 \nFilming Locations: St. Petersburg, Russia 	Cumulative Worldwide Gross: $360,648	Runtime: 97 min\nColor: Color
21.	Непосредственно Каха!	Comedy	4.1	Feature Film	Artyom Karokozyan, Artyom Kalaydzhan, Tamara Turava	Country: Russia\nLanguage: Russian\nRelease Date: 12 November 2020 (Russia) \nAlso Known As: Непосредственно Каха 	Cumulative Worldwide Gross: $7,646,385	Runtime: 110 min\nColor: Color
22.	Подольские курсанты	Action, Drama, War	6.1	Feature Film	Artyom Gubin, Lubov Konstantinova, Igor Yudin	Official Sites: Official site | Official site\nCountry: Russia\nLanguage: Russian\nRelease Date: 4 November 2020 (Russia) \nAlso Known As: Подольские курсанты 	Cumulative Worldwide Gross: $1,216,018	Runtime: 136 min\nColor: Color
23.	Полное погружение	Animation, Family	5.5	Feature Film	Stephen Thomas Ochsner, Daniil Medvedev, Liza Klimova	Official Sites: Official site\nCountry: Russia | USA | Hungary\nLanguage: English\nRelease Date: 3 December 2020 (Russia) \nAlso Known As: Полное погружение 	Cumulative Worldwide Gross: $470,509	Runtime: 82 min\nColor: Color
24.	Гудбай, Америка	Comedy, Drama	5.6	Feature Film	Mikael Aramyan, Robert Felsted Jr., Lyanka Gryu	Country: Russia\nLanguage: Russian\nRelease Date: 8 October 2020 (Russia) \nAlso Known As: Гудбай, Америка 	Cumulative Worldwide Gross: $1,123,335	Runtime: 101 min\nColor: Color
25.	Стрельцов	Biography, Drama, Romance	4.8	Feature Film	Alexander Petrov, Stasya Miloslavskaya, Aleksandr Yatsenko	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 24 September 2020 (Russia) \nAlso Known As: Стрельцов 	Cumulative Worldwide Gross: $4,952,355	Runtime: 100 min\nColor: Color
26.	Конференция	Drama	6.9	Feature Film	Filipp Avdeev, Natalya Pavlenkova, Yan Tsapnik	Country: Russia | Estonia | UK | Italy\nLanguage: Russian\nRelease Date: 22 October 2020 (Russia) \nAlso Known As: Конференция 	Cumulative Worldwide Gross: $8,261	Runtime: 135 min\nColor: Color\nAspect Ratio: 2.35 : 1
27.	Беспринципные	Drama	6.9	TV Series	Kristina Babushkina, Ingeborga Dapkunaite, Pavel Derevyanko	Country: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Беспринципные 	Null	Runtime: 60 min\nColor: Color
28.	На острие	Drama, Sport	4.8	Feature Film	Svetlana Khodchenkova, Stasya Miloslavskaya, Sergey Puskepalis	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 26 November 2020 (Russia) \nAlso Known As: На острие 	Cumulative Worldwide Gross: $1,081,472	Color: Color
29.	Белка и Стрелка: Карибская тайна	Animation, Action, Adventure	6.6	Feature Film	Mauriett Chayeb, Maria Antonieta Monge, Paula Andrea Barros	Country: Russia\nLanguage: English | Russian\nRelease Date: 24 September 2020 (Russia) \nAlso Known As: Белка и Стрелка: Карибская тайна 	Cumulative Worldwide Gross: $624,859	Runtime: 80 min\nColor: Color
30.	Маша	Null	4.8	Feature Film	Anna Chipovskaya, Sergey Dvoynikov, Polina Gukhman	Country: Russia\nLanguage: Russian\nRelease Date: 15 September 2020 (Russia) \nAlso Known As: Маша 	Null	Color: Color
31.	Русский рейд	Action	5.3	Feature Film	Ilya Antonenko, Nikita Kologrivyy, Ivan Kotik	Country: Russia\nLanguage: Russian\nRelease Date: 1 October 2020 (Russia) \nAlso Known As: Русский рейд 	Cumulative Worldwide Gross: $51,403	Color: Color
32.	Kazanova	Mystery	6.4	TV Series	Anton Khabarov, Svetlana Khodchenkova, Sergey Ugryumov	Official Sites: official site\nCountry: Russia\nLanguage: Russian\nRelease Date: 9 November 2020 (Russia) 	Null	Color: Color
33.	Шерлок в России	Crime, Drama, Mystery	5.3	TV Series	Maksim Matveev, Vladimir Mishukov, Irina Starshenbaum	Official Sites: Start [Russia]\nCountry: Russia\nLanguage: Russian | English\nRelease Date: 2020 (Russia) \nAlso Known As: Шерлок в России \nFilming Locations: Saint-Petersburg, Russia	Null	Color: Color
34.	Passengers	Drama	Null	TV Series	Yuliya Aug, Anatoliy Belyy, Andrey Burkovskiy	Official Sites: Online cinema where TV series is shown\nCountry: Russia\nLanguage: Russian\nRelease Date: 24 December 2020 (Russia) 	Null	Color: Color
35.	Смертельные иллюзии	Thriller	5.7	Feature Film	Andrey Burkovskiy, Pavel Chinaryov, Danila Yakushev	Country: Russia\nLanguage: Russian\nRelease Date: 19 November 2020 (Russia) \nAlso Known As: Смертельные иллюзии 	Cumulative Worldwide Gross: $188,864	Color: Color
36.	UFO	Drama	Null	Feature Film	Aleksandr Alyabev, Ivashova Eugenia, Aleksey Filimonov	Official Sites: Address film production house\nCountry: Russia\nLanguage: Russian\nRelease Date: 15 September 2020 (Russia) 	Budget:RUR13,000,000 (estimated)	Runtime: 98 min\nColor: Color (HD)
37.	Приворот. Черное венчание	Horror, Romance	Null	Feature Film	Yana Yenzhayeva, Konstantin Beloshapka, Ilya Yermolov	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 29 October 2020 (Russia) \nAlso Known As: Приворот. Черное венчание 	Null	Color: Color
38.	Территория	Adventure, Drama, Mystery	6.6	TV Series	Andrey Merzlikin, Gleb Kalyuzhnyy, Kseniya Otinova	Official Sites: Official site [Russia] | Official video streaming [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 12 October 2020 (Russia) \nAlso Known As: Территория \nFilming Locations: Perm kray, Russia	Null	Runtime: 48 min\nColor: Color\nAspect Ratio: 2:1
39.	Бег	Crime, Drama, Fantasy	5.1	Feature Film	Mariya Akhmetzyanova, Oleg An, Svetlana Bryukhanova	Country: Russia\nLanguage: Russian\nRelease Date: 19 November 2020 (Russia) \nAlso Known As: Бег 	Null	Runtime: 90 min\nColor: Color
40.	The Terrible	History	6.5	TV Series	Tatyana Lyalina, Sergey Makovetskiy, Aleksandr Yatsenko	Official Sites: Official Website\nCountry: Russia\nLanguage: Russian\nRelease Date: 23 November 2020 (Russia) \nFilming Locations: Moscow, Russia	Null	Color: Color
41.	Барбоскины на даче	Animation, Family	Null	Feature Film	Null	Official Sites: production company website\nCountry: Russia\nLanguage: Russian\nRelease Date: 8 October 2020 (Russia) \nAlso Known As: Барбоскины на даче 	Null	Color: Color\nAspect Ratio: 2.35 : 1
42.	Человек из Подольска	Drama	7.1	Feature Film	Vadik Korolyov, Yuliya Bashorina, Ilya Borisov	Country: Russia\nLanguage: Russian\nRelease Date: 26 November 2020 (Russia) \nAlso Known As: Человек из Подольска 	Cumulative Worldwide Gross: $57,178	Runtime: 92 min\nColor: Color
43.	Bomba	History, Romance, War	5.2	TV Series	Evgeniy Tkachuk, Viktor Dobronravov, Evgenia Brik	Official Sites: Bomba film on Kinopoisk.ru\nCountry: Russia\nLanguage: Russian\nRelease Date: 1 October 2020 (Russia) 	Null	Color: Color
44.	Паркет	Drama	4.7	Feature Film	Agata Kulesza, Evgenia Dodina, Andrzej Chyra	Country: Russia | UK | Romania | Poland\nLanguage: Russian\nRelease Date: 22 November 2020 (Estonia) \nAlso Known As: Паркет 	Null	Color: Color
45.	The Magic Behind d'ILLUSION: The Houdini Musical - The Audio Theater Experience	Documentary, Short, Music	Null	Feature Film	Andrea Sooch, Harry Houdini, Max Hechtman	Official Sites: Official "d'ILLUSION: The Houdini Musical" site | Official Facebook | \nCountry: USA | Hungary | Germany | Netherlands | Russia | New Zealand | Singapore | Brazil\nLanguage: English\nRelease Date: 10 December 2020 (USA) 	Null	Runtime: 9 min\nSound Mix: Stereo\nColor: Color\nAspect Ratio: 16:9 HD
46.	Кто-нибудь видел мою девчонку?	Drama	Null	Feature Film	Yuriy Borisov, Vasiliy Butkevich, Anna Chipovskaya	Country: Russia\nLanguage: Russian\nRelease Date: 4 February 2021 (Russia) \nAlso Known As: Кто-нибудь видел мою девчонку? \nFilming Locations: Moscow 	Null	Runtime: 99 min\nSound Mix: Dolby SR\nColor: Color\nAspect Ratio: 1:2,39
47.	Troe	Drama	6.8	Feature Film	Konstantin Khabenskiy, Viktoriya Isakova, Yuliya Peresild	Country: Russia\nRelease Date: 3 December 2020 (Russia) 	Cumulative Worldwide Gross: $284,356	Runtime: 127 min\nColor: Color
48.	Гипноз	Drama	5.3	Feature Film	Maksim Sukhanov, Sergey Giro, Ekaterina Fedulova	Country: Russia | Finland\nLanguage: Russian\nRelease Date: 15 October 2020 (Russia) \nAlso Known As: Гипноз 	Budget:RUR100,000,000 (estimated)\nCumulative Worldwide Gross: $168,743	Runtime: 112 min\nColor: Color
49.	Сердце Пармы	Action, Drama, Fantasy	Null	Feature Film	Vilen Babichev, Fedor Bondarchuk, Elena Erbakova	Country: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Сердце Пармы 	Null	Runtime: 110 min\nColor: Color
50.	Khandra	Comedy	5.8	Feature Film	Danila Yakushev, Mikhail Troynik, Kirill Kovbas	Official Sites: Official site\nCountry: Russia\nLanguage: Russian\nRelease Date: 1 October 2020 (Russia) \nAlso Known As: Хандра \nFilming Locations: Moscow, Russia	Cumulative Worldwide Gross: $43,219	Color: Color
51.	Waiting for death	Fantasy, Horror, Thriller	9.3	Feature Film	Sergey A., Mike Lachance, Ivan Lachance	Official Sites: Official YouTube trailer | YouTube - Full movie (Flash)\nCountry: Russia | Czech Republic | Ukraine\nLanguage: Russian | English\nRelease Date: 26 September 2020 (Russia) \nFilming Locations: Moscow, Russia 	Budget:RUR2,700 (estimated)	Runtime: 50 min\nSound Mix: Stereo\nColor: Color\nAspect Ratio: 16:9 HD
52.	Скажи ей	Drama	3.7	Feature Film	Artyom Bystrov, Wolfgang Cerny, Igor Chernevich	Country: Russia\nLanguage: English\nRelease Date: 14 September 2020 (Russia) \nAlso Known As: Скажи ей \nFilming Locations: 47th Street W and W Ave G Lancaster, California, USA	Budget:$2,000,000 (estimated)	Color: Color
53.	Собор	History	Null	TV Series	Sergey Marin, Svetlana Ivanova, Aleksandr Baluev	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Собор 	Null	Color: Color
