index	name	genres	rating	type	stars	details	box_office	tech_specs
75.	Sententia	Drama	6.2	Feature Film	Null	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 17 December 2020 (Russia) \nAlso Known As: Сентенция 	Cumulative Worldwide Gross: $2,313	Color: Black and White
76.	The Optimists: A Cuban Affair	Null	Null	TV Series	Anatoliy Belyy, Sergey Bezrukov, Elizaveta Boyarskaya	Official Sites: Official Russia TV site\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) 	Null	Color: Color
77.	LJOY Podcast (by SAN Media)	Null	Null	TV Series	Null	Official Sites: LJOY Podcast (by SAN Media) - Full video\nCountry: Russia\nLanguage: Russian\nRelease Date: 30 November 2020 (Russia) 	Null	Null
78.	On the Road to Berlin	War	Null	Feature Film	Null	Country: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) 	Null	Color: Color
79.	Уцелевшие	Crime, Thriller	Null	TV Series	Dmitriy Lavrov, Mariya Akhmetzyanova, Vladimir Sterzhakov	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Уцелевшие 	Null	Color: Color
80.	Министерство	Comedy	Null	TV Series	Ivan Oganesyan, Kirill Safonov, Anna Polupanova	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Министерство 	Null	Color: Color
81.	Чупакабра	Drama	Null	Feature Film	Karina Alexandrova, Serafim Cherkinsky, Said Gamzatov	Country: Russia\nLanguage: Russian\nRelease Date: 19 November 2020 (Russia) \nAlso Known As: Чупакабра 	Null	Runtime: 75 min\nColor: Color
82.	The Jar	Drama, Mystery	Null	Feature Film	Anna Boriskina, Lubov Kabanova, Edward Kowzan	Country: Russia\nLanguage: Russian\nRelease Date: 10 November 2020 (Russia) \nFilming Locations: Lipetsk, Russia	Budget:$1,000 (estimated)	Runtime: 63 min (original)\nColor: Color (Full HD)\nAspect Ratio: 1.78 : 1
83.	Тонкие материи	Romance	Null	TV Movie	Konstantin Beloshapka, Natalia Berger, Sofya Lebedeva	Official Sites: Cosmos studio Production Company\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Тонкие материи 	Null	Color: Color
84.	Obsession	Drama	Null	Feature Film	Anton Anurov, Elena Borisova, Nikita Evtushenko	Official Sites: Official Trailer\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nFilming Locations: Moscow, Russia	Null	Color: Color\nAspect Ratio: 2.39:1
85.	Хозяйка горы	Romance	Null	TV Series	Viktoriya Tolstoganova, Anna Snatkina, Sergey Peregudov	Official Sites: Official site [Russia]\nCountry: Russia\nRelease Date: 2020 (Russia) \nAlso Known As: Хозяйка горы 	Null	Color: Color
86.	The Fisherman's Daughter	Drama	Null	Feature Film	Hamail Gasanova, Gurban Ismailov, Rasim Jafarov	Official Sites: Film's page on the WB website\nCountry: Azerbaijan | Russia\nLanguage: Azerbaijani\nRelease Date: 1 October 2020 (Russia) \nFilming Locations: Absheron, Baku, Azerbaijan	Null	Runtime: 87 min\nSound Mix: Dolby Digital\nColor: Color\nAspect Ratio: 1.85 : 1
87.	The Dead Man	Drama, Mystery	Null	Feature Film	Vladimir Belokopytov, Vladimir Borisov, Lilia Krasnyh	Country: Russia\nLanguage: Russian\nRelease Date: 12 December 2020 (Russia) \nFilming Locations: Lipetsk, Russia	Budget:$400 (estimated)	Runtime: 51 min (original)\nColor: Color (Full HD)\nAspect Ratio: 1.78 : 1
88.	Когда она приходит	Thriller	Null	Feature Film	Aglaya Tarasova, Pyotr Skvortsov, Nikita Tarasov	Country: Russia\nLanguage: Russian\nRelease Date: 16 September 2020 (Russia) \nAlso Known As: Когда она приходит 	Null	Color: Color
89.	Kak Nadya poshla za vodkoi	Comedy	5.5	Feature Film	Evgeniya Solyanykh, Yana Troyanova, Evgeniy Tsyganov	Official Sites: TenLetters [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 29 October 2020 (Russia) 	Budget:RUR10,000,000 (estimated)	Runtime: 78 min\nColor: Color
90.	Po sledu monstra	Documentary, Crime	Null	TV Series	Null	Official Sites: NTV Channel [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 5 September 2020 (Russia) 	Null	Color: Color
